"stream"	"patch"	"mother_pl_id_old"	"mother_pl_id_new"	"offspring_id_new"	"corrected"	"diam_fl_mean"	"first_fl"	"last_fl"	"first_bud"	"last_bud"	"peak_fl"	"mean_fl"	"dur_fl"	"temp_ori"
"102"	"WS"	"1"	"218"	"218"	"10"	"NO"	5.5	2017-05-28	2017-06-02	2017-05-28	2017-06-02	2017-06-02	17316.5	5	27.9
"103"	"WS"	"1"	"218"	"218"	"9"	"NO"	6.83333333333333	2017-05-24	2017-06-09	2017-05-24	2017-06-09	2017-05-28	17318	16	27.9
"104"	"WS"	"1"	"218"	"218"	"4"	"NO"	NA	2017-05-24	2017-05-28	2017-05-24	2017-06-02	2017-05-24	17312	4	27.9
"105"	"WS"	"3"	"223"	"223"	"4"	"NO"	7.16666666666667	2017-06-09	2017-06-09	2017-06-02	2017-06-02	2017-06-09	17326	0	29.5
"106"	"WS"	"3"	"223"	"223"	"5"	"NO"	6.16666666666667	2017-06-02	2017-06-16	2017-05-28	2017-06-02	2017-06-09	17326	14	29.5
"107"	"17"	"1"	"23"	"23"	"1"	"NO"	NA	2017-05-28	2017-06-02	2017-05-24	2017-06-02	2017-05-28	17316.5	5	11.7
"108"	"WS"	"2"	"235"	"235"	"3"	"NO"	6.16666666666667	2017-06-09	2017-06-09	2017-06-09	2017-06-09	2017-06-09	17326	0	32.5
"109"	"17"	"3"	"236"	"236"	"5"	"NO"	NA	2017-05-21	2017-05-21	2017-05-21	2017-05-21	2017-05-21	17307	0	11.5
"110"	"17"	"3"	"236"	"236"	"6"	"NO"	NA	2017-05-28	2017-05-28	2017-05-21	2017-05-28	2017-05-28	17314	0	11.5
"111"	"17"	"3"	"236"	"236"	"4"	"NO"	NA	2017-05-24	2017-06-02	2017-05-28	2017-06-02	2017-05-24	17314.5	9	11.5
"112"	"17"	"3"	"236"	"236"	"3"	"NO"	NA	2017-06-02	2017-06-02	2017-06-02	2017-06-02	2017-06-02	17319	0	11.5
"113"	"17"	"3"	"236"	"236"	"10"	"NO"	5.5	2017-05-24	2017-06-16	2017-05-21	2017-06-09	2017-06-09	17321.5	23	11.5
"114"	"17"	"3"	"245"	"245"	"3"	"NO"	5.66666666666667	2017-05-24	2017-06-16	2017-05-28	2017-06-09	2017-06-09	17321.5	23	12.1
"115"	"17"	"3"	"245"	"245"	"4"	"NO"	6.5	2017-06-02	2017-06-16	2017-06-02	2017-06-02	2017-06-16	17326	14	12.1
"116"	"17"	"3"	"245"	"245"	"6"	"NO"	NA	2017-06-09	2017-06-16	2017-06-09	2017-06-09	2017-06-16	17329.5	7	12.1
"117"	"17"	"2"	"250"	"1079"	"11"	"YES"	NA	NA	NA	2017-05-28	2017-06-02	NA	NA	NA	11.3
"118"	"17"	"2"	"250"	"250"	"5"	"NO"	NA	2017-06-09	2017-06-09	NA	NA	2017-06-09	17326	0	11.3
