"id"	"plot"	"FFD"	"mean_temp"	"temp1"	"n_fr"	"total_seeds"	"seed_data"	"n_fruits"	"n_seeds"	"seeds_per_fr"	"diam1"	"diam2"	"nstems"	"nfl"	"maxh"	"medianh"	"area"
"156"	"H358"	"H09"	2017-06-27	10.4333333333333	9	9	417	"yes"	9	417	46.3333333333333	23	73	4	42	14	5	5274.73406537726
"157"	"H359"	"H09"	2017-06-21	10.4333333333333	8.9	9	186.75	"yes"	9	186.75	20.75	4	32	2	42	18	10.5	402.123859659494
"158"	"H36"	"H02"	NA	12.4333333333333	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"159"	"H360"	"H09"	2017-06-27	10.4	8.7	12	231	"yes"	12	231	19.25	76	57	4	6	38	10	13609.379375351
"160"	"H361"	"H09"	2017-07-07	10.7333333333333	9.2	2	67	"yes"	2	67	33.5	48	27	1	15	102	6	4071.50407905237
"161"	"H362"	"H09"	NA	10.8	9.4	NA	NA	NA	NA	NA	NA	31	27	0	1	4	1.9	2629.51305105466
"162"	"H363"	"H09"	2017-06-27	10.7333333333333	9.2	5	155	"yes"	5	155	31	4	27	1	36	102	6	339.292006587698
"163"	"H364"	"H09"	NA	10.8	9.6	NA	NA	NA	NA	NA	NA	5	4	0	1	1	0.8	62.8318530717959
"164"	"H365"	"H09"	2017-06-21	10.4666666666667	9.4	4	85	"yes"	4	85	21.25	71	27	2	32	121	7.6	6022.43311693163
"165"	"H366"	"H09"	2017-06-27	10.5333333333333	9.5	3	55	"yes"	3	55	18.3333333333333	33	29	1	24	122	8.5	3006.50416948543
"166"	"H367"	"H09"	NA	10.3666666666667	9.4	NA	NA	NA	NA	NA	NA	36	31	0	1	56	2.2	3506.01740140621
"167"	"H368"	"H09"	2017-07-16	10.2333333333333	9.1	2	28	"yes"	2	28	14	3	7	1	2	2	1.3	65.9734457253857
"168"	"H369"	"H09"	NA	10.3	8.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"169"	"H37"	"H02"	2017-06-26	13.9666666666667	14.6	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"170"	"H370"	"H09"	2017-06-12	9.5	8.6	6	164	"yes"	6	164	27.3333333333333	36	11	2	37	120	7.5	1244.07069082156
"171"	"H371"	"H09"	NA	10	8.8	NA	NA	NA	NA	NA	NA	59	30	0	1	55	2.1	5560.61899685393
"172"	"H372"	"H09"	2017-07-07	9.96666666666667	8.8	4	153.3333333333	"yes"	4	153.3333333333	38.333333333325	33	29	1	24	83	4	3006.50416948543
"173"	"H373"	"H09"	2017-06-27	10.3666666666667	9.1	3	42	"yes"	3	42	14	36	27	1	24	94	5.5	3053.62805928928
"174"	"H374"	"H09"	NA	10.4333333333333	9.4	NA	NA	NA	NA	NA	NA	5	11	0	1	5	1.1	172.787595947439
"175"	"H375"	"H09"	NA	10.7333333333333	9.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"176"	"H376"	"H10"	NA	24.6	25.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"177"	"H377"	"H10"	NA	22	20.7	NA	NA	NA	NA	NA	NA	75	27	0	1	110	4	6361.72512351933
"178"	"H378"	"H10"	2017-06-26	24.5333333333333	24.3	8	173.3333333333	"yes"	8	173.3333333333	21.6666666666625	64	46	2	42	132	8.6	9248.84877216835
"179"	"H379"	"H10"	2017-07-10	19.9333333333333	20	5	210	"yes"	5	210	42	NA	NA	NA	NA	NA	NA	NA
"180"	"H38"	"H02"	2017-06-26	13.8	15.4	NA	NA	"no"	0	0	NA	NA	NA	NA	NA	NA	NA	NA
