record	id	plot	x	y	peak	comments	date	temp	stage
1	H867	HC2a	1,3	2,55	X		06/06/2017	6,8	VL
1	H868	HC2a	2,55	2,5	X		06/06/2017	7,2	VL
1	H869	HC2a	2,9	2,4	X		06/06/2017	7	B1
1	H870	HC2a	3,4	2,1	X		06/06/2017	7,4	B1
1	H871	HC2a	2,55	1,9	X		06/06/2017	7	B1
1	H872	HC2a	4,5	1,2	X		06/06/2017	7,6	B1
1	H873	HC2a	5,1	2,1	X		06/06/2017	8	B1
1	H874	HC2a	3	2,65	X		06/06/2017	6,7	B1
1	H875	HC2a	4,6	0,9	X		06/06/2017	7,3	B1
1	H876	HC2a	6,5	0,7	X		06/06/2017	8,3	VL
1	H877	HC2a	5,55	0,5	X		06/06/2017	8	VS
1	H878	HC2a	7,6	1,25	X		06/06/2017	8	B1
1	H879	HC2a	8,4	1,2	X		06/06/2017	7,8	B2
1	H880	HC2a	8,85	1,1	X		06/06/2017	7,6	B1
1	H881	HC2a	8,75	0,6	X		06/06/2017	7,8	B1
1	H882	HC2a	8,4	0,3	X		06/06/2017	7,4	B2
1	H883	HC2a	8,95	0,3	X		06/06/2017	7,6	B1
1	H884	HC2a	13,1	2,1	X		06/06/2017	8,1	B1
1	H885	HC2a	13,15	1,2	X		06/06/2017	7,6	B2
1	H886	HC2b	0,4	3,2	X		06/06/2017	8	VS
1	H887	HC2b	0,85	3,8	X		06/06/2017	6,7	VS
1	H888	HC2b	10,2	0,6	-		06/06/2017	9,8	B2
1	H889	HC2b	11,35	2	X		06/06/2017	9,2	B2
1	H890	HC2b	6,4	3,75	X		06/06/2017	9	VS
1	H891	HC2b	6,05	4,4	X		06/06/2017	9	VL
1	H892	HC2b	5,1	5,1	X		06/06/2017	8,6	B1
1	H893	HC2b	5	5,1	X		06/06/2017	8,7	VL
1	H894	HC4	1,25	0,85	-		07/06/2017	6,5	B1
1	H895	HC4	1,95	1,15	X		07/06/2017	6,3	B1
1	H896	HC4	0,1	1,7	X		07/06/2017	4,1	B1
1	H897	HC4	10,4	-0,05	-		07/06/2017	5,8	B1
1	H898	HC4	0,25	3,95	X		07/06/2017	5,7	B2
1	H899	HC4	1,15	4,05	X		07/06/2017	5,2	B1
1	H1100	HC4	1,2	3,25	X		07/06/2017	5	B1
1	H1101	HC4	3,3	2,45	X		07/06/2017	4,6	B2
1	H1102	HC4	2,3	2,3	X		07/06/2017	5,9	B3
1	H1103	HC4	2,3	2,2	X		07/06/2017	6,3	B1
1	H1104	HC4	9,15	2,8	X		07/06/2017	5,6	B1
1	H1105	HC4	15,3	0,45	X		07/06/2017	6,1	VL
1	H1106	HC4	15,75	1,15	X		07/06/2017	6,7	B1
1	H1107	HC4	16	1,1	X		07/06/2017	6,7	B2
1	H1108	HC4	13,15	8,55	X		07/06/2017	7	VL
1	H1109	HC4	13,3	8,7	X		07/06/2017	7,2	VL
1	H1110	HC4	13,15	8,9	X		07/06/2017	7,6	B2
1	H1111	HC4	8,65	9	X		07/06/2017	6,6	B2
1	H1112	HC4	8	8,3	-	wrong species	07/06/2017	6	B1
1	H1113	HC4	8,05	7,5	X		07/06/2017	6	VL
1	H1114	HC4	7,95	7,5	X		07/06/2017	6,8	VS
1	H1115	HC4	7,95	7	X		07/06/2017	7	VS
1	H1116	HC4	6,8	8,2	X		07/06/2017	6,6	B3
1	H1117	HC4	6,1	5,5	X		07/06/2017	5	B2
1	H1118	HC4	5,8	8,2	X		07/06/2017	5,9	B1
1	H1119	HC4	5,3	7,7	X		07/06/2017	6	B2
1	H1120	HC4	2,6	7,4	-		07/06/2017	4,8	B2
1	H1121	HC4	0,4	5,8	X		07/06/2017	5,7	B1
1	H1122	HC4	9,5	8,9	X		07/06/2017	6,4	B2
1	H1123	HC4	12,6	9,1	X		07/06/2017	8	B1
1	H1124	HC5	2,2	1,05	X		07/06/2017	6,4	B1
1	H1125	HC5	3	1,1	X		07/06/2017	6,3	VL
1	H1126	HC5	0,15	3	X		07/06/2017	6,4	VL
1	H1127	HC5	1,15	2,65	X		07/06/2017	7	VL
1	H1128	HC5	1	3,8	X		07/06/2017	6,7	VL
1	H1129	HC5	4	2,6	X		07/06/2017	8	VL
1	H1130	HC5	4,4	1,5	X		07/06/2017	7,6	B1
1	H1131	HC5	4,7	3,8	X		07/06/2017	7,3	VS
1	H1132	HC5	6,25	3,95	X		07/06/2017	8,1	B1
1	H1133	HC5	6,7	3,8	X		07/06/2017	8,4	B1
1	H1134	HC5	6,75	3,6	X		07/06/2017	8,4	VL
1	H1135	HC5	7,6	3,2	X		07/06/2017	8,4	VS
1	H1136	HC5	8,3	1,45	X		07/06/2017	7,7	VS
1	H1137	HC5	8,7	1,05	X		07/06/2017	6,7	B1
1	H1138	HC5	9,6	1,1	X		07/06/2017	8,1	B1
1	H1139	HC5	9,5	1,7	X		07/06/2017	7,8	VL
1	H1140	HC5	9,3	2,65	X		07/06/2017	7,9	VL
1	H1141	HC5	8,9	4,2	X		07/06/2017	7,7	VL
1	H1142	HC5	9,7	3,25	X		07/06/2017	7,5	VL
1	H1143	HC5	10,2	3	X		07/06/2017	8	VL
1	H1144	HC5	10,3	4,3	X		07/06/2017	6,9	B2
1	H1145	HC5	10,4	6	X		07/06/2017	8	VS
1	H1146	HC5	11,3	4,35	X		07/06/2017	7,5	VL
1	H1147	HC5	11,7	3,6	X		07/06/2017	7,8	B1
1	H1148	HC5	11,8	4,25	X		07/06/2017	8	VL
1	H1149	HC5	11,6	4,9	X		07/06/2017	7	B2
1	H1150	HC5	12,8	5	X		07/06/2017	7,3	B1
1	H1151	HC5	12,35	0,25	X		07/06/2017	6	B1
1	H1152	HC5	-0,2	4,65	X		07/06/2017	6,8	VL
1	H1153	HC5	-0,75	4,8	X		07/06/2017	7	B2
1	H1154	HC6	0,9	2,7	X		09/06/2017	7,2	B1
1	H1155	HC6	0,4	3,9	X		09/06/2017	7	B1
1	H1156	HC6	2,1	4,65	X		09/06/2017	7,4	B2
1	H1157	HC6	3,1	4,5	X		09/06/2017	7	VS
1	H1158	HC6	4,6	6,35	X		09/06/2017	7	VL
1	H1159	HC6	4,5	7,4	-	wrong species	09/06/2017	7	VL
1	H1160	HC6	2,8	9,4	X		09/06/2017	6,6	VS
1	H1161	HC6	5,7	6	X		09/06/2017	7	VS
1	H1162	HC6	3,9	2,2	X		09/06/2017	7,4	B1
1	H1163	HC6	6,7	4,05	-	wrong species	09/06/2017	6,7	B2
1	H1164	HC6	8,1	3,5	-	wrong species	09/06/2017	6,7	VL
